,Unnamed: 0,CID,Activity_Outcome,Activity_Score,Ratio_Potency_(uM),MW,Polar_Area,Complexity,Heavy_Count,HBondDonor,HBondAcc,RotBonds,IsoSMILES
96,96,2554,Active,51,4.41903,236.27,46.3,326.0,18,1,1,0,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
97,97,2733,Inactive,0,100.0,169.56,38.3,185.0,11,1,2,0,C1=CC2=C(C=C1Cl)NC(=O)O2
98,98,2756,Inactive,0,100.0,252.34,114.0,296.0,17,3,4,7,CC1=C(N=CN1)CSCCNC(=NC)NC#N
99,99,2720,Inactive,0,100.0,295.7,135.0,532.0,17,2,6,1,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
100,100,5309446,Inactive,0,100.0,362.3,21.1,377.0,24,1,2,4,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl
101,101,1547484,Inactive,0,100.0,368.5,6.5,429.0,28,0,2,6,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
102,102,1355,Inactive,0,100.0,196.67,15.3,157.0,13,1,2,1,C1CN(CCN1)C2=CC(=CC=C2)Cl
103,103,2812,Inactive,0,100.0,344.8,17.8,396.0,25,0,1,4,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
104,104,2913,Inactive,0,100.0,287.4,3.2,423.0,22,0,1,0,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1
105,105,135398737,Inactive,0,100.0,326.8,30.9,446.0,23,1,3,1,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
106,106,4652,Inactive,0,100.0,199.63,63.3,179.0,13,2,3,3,C1=CC(=CC=C1CC(C(=O)O)N)Cl
107,107,64927,Inactive,0,100.0,515.9,184.0,359.0,32,7,11,8,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O
108,108,2796,Inactive,0,100.0,242.7,35.5,232.0,16,0,3,5,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
109,109,2803,Inactive,0,100.0,230.09,36.4,222.0,14,2,1,2,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
110,110,2753,Inactive,0,100.0,342.4,58.6,499.0,25,1,3,6,CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3
111,111,2726,Inactive,0,100.0,318.9,31.8,339.0,21,0,3,4,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
112,112,2762,Inactive,0,100.0,262.22,88.4,449.0,19,1,7,2,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
113,113,2576,Inactive,0,100.0,260.329,90.6,281.0,18,2,4,9,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
114,114,19379,Inactive,0,100.0,294.17,38.8,228.0,18,1,4,7,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl.Cl
115,115,2910,Inactive,0,100.0,389.9,135.0,758.0,24,3,7,2,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
116,116,36811,Inactive,0,100.0,301.4,72.7,305.0,22,4,4,7,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O
117,117,3100,Inactive,0,100.0,255.35,12.5,211.0,19,0,2,6,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
118,118,10649,Inactive,0,100.0,527.6,59.8,532.0,36,2,4,11,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-]
119,119,65327,Inactive,0,100.0,302.8,15.3,267.0,21,2,2,4,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
120,120,6419921,Inactive,0,100.0,315.8,12.5,363.0,22,1,2,3,CN(C)CC/C=C/1\\C2=CC=CC=C2COC3=CC=CC=C31.Cl
121,121,3053,Inactive,0,100.0,393.35,196.0,481.0,27,5,13,16,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
122,122,3019,Inactive,0,100.0,230.67,66.9,360.0,14,1,3,0,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
123,123,4943,Inactive,0,100.0,178.27,20.2,135.0,13,1,1,2,CC(C)C1=C(C(=CC=C1)C(C)C)O
124,124,9363,Inactive,0,100.0,223.27,49.8,228.0,16,1,3,4,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC
125,125,53708,Inactive,0,100.0,248.3,83.5,371.0,17,2,3,3,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC
126,126,8307,Inactive,0,100.0,201.69,20.2,145.0,13,1,2,2,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-]
127,127,3194,Inactive,0,100.0,274.2,20.3,275.0,16,0,1,1,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2
128,128,6207,Inactive,0,100.0,380.35,174.0,397.0,26,4,12,17,C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
129,129,3396,Inactive,0,100.0,475.6,35.6,653.0,35,1,5,7,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
130,130,3433,Inactive,0,100.0,260.25,82.4,402.0,19,1,4,2,CC1=NC2=C(N1)C(=O)N(C(=O)N2CC3=CC=CO3)C
131,131,3386,Inactive,0,100.0,309.33,21.3,308.0,22,1,5,6,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
132,132,3331,Inactive,0,100.0,238.24,105.0,246.0,17,2,4,7,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
133,133,3372,Inactive,0,100.0,437.5,55.2,544.0,30,1,8,6,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
134,134,3339,Inactive,0,100.0,360.8,52.6,458.0,25,0,4,7,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
135,135,3373,Inactive,0,100.0,303.29,64.4,461.0,22,0,5,3,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
136,136,3442,Inactive,0,100.0,179.22,50.2,170.0,13,1,3,4,CCCCC1=CN=C(C=C1)C(=O)O
137,137,3385,Inactive,0,100.0,130.08,58.2,199.0,9,2,3,0,C1=C(C(=O)NC(=O)N1)F
138,138,3356,Inactive,0,100.0,414.34,59.6,500.0,28,2,10,7,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
139,139,3341,Inactive,0,100.0,305.75,72.7,348.0,21,4,4,1,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
140,140,3325,Inactive,0,100.0,337.5,238.0,469.0,20,4,8,7,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
141,141,3397,Inactive,0,100.0,276.21,74.9,352.0,19,1,6,2,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
142,142,3478,Inactive,0,100.0,445.5,139.0,697.0,31,3,6,7,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
143,143,3446,Inactive,0,100.0,171.24,63.3,162.0,12,2,3,3,C1CCC(CC1)(CC(=O)O)CN
144,144,3488,Inactive,0,100.0,494.0,122.0,746.0,33,3,5,8,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
145,145,71401,Inactive,0,100.0,282.5,81.5,256.0,16,3,1,2,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl.Cl
146,146,135398740,Inactive,0,100.0,255.23,135.0,346.0,18,4,6,5,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N
147,147,5280961,Inactive,0,100.0,270.24,87.0,411.0,20,3,5,1,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
148,148,3559,Inactive,0,100.0,375.9,40.5,451.0,26,1,4,6,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
149,149,9351,Inactive,0,100.0,196.64,63.8,150.0,13,3,4,1,C1=CC=C2C(=C1)C=NN=C2NN.Cl
150,150,5702293,Inactive,0,100.0,330.33,134.0,377.0,24,4,7,2,C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O.C(=C\\C(=O)O)\\C(=O)O
151,151,3639,Inactive,0,100.0,297.7,135.0,494.0,17,3,7,1,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
152,152,774,Inactive,0,100.0,111.15,54.7,64.7,8,2,2,2,C1=C(NC=N1)CCN
153,153,681,Inactive,0,100.0,153.18,66.5,119.0,11,3,3,2,C1=CC(=C(C=C1CCN)O)O
154,154,3657,Inactive,0,100.0,76.055,75.4,42.9,5,3,2,0,C(=O)(N)NO
155,155,785,Inactive,0,100.0,110.11,40.5,54.9,8,2,2,0,C1=CC(=CC=C1O)O
156,156,3672,Inactive,0,100.0,206.28,37.3,203.0,15,1,2,4,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
157,157,55918,Inactive,0,100.0,240.26,59.3,347.0,18,1,3,2,C1CC(=O)NN=C1C2=CC=C(C=C2)N3C=CN=C3
158,158,3779,Inactive,0,100.0,211.26,72.7,187.0,15,4,4,4,CC(C)NCC(C1=CC(=C(C=C1)O)O)O
159,159,54459,Inactive,0,100.0,204.22,42.8,267.0,15,1,3,1,C1CN=C(N1)C2COC3=CC=CC=C3O2
160,160,3696,Inactive,0,100.0,280.4,6.5,291.0,21,0,2,4,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
161,161,133621,Inactive,0,100.0,244.29,36.3,275.0,18,0,3,3,CCN1C=CN=C1CC2COC3=CC=CC=C3O2
162,162,3827,Inactive,0,100.0,309.4,48.6,476.0,22,0,3,0,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1
163,163,3932,Inactive,0,100.0,391.5,46.1,555.0,30,0,3,5,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5
164,164,3965,Inactive,0,100.0,246.3,54.4,316.0,18,1,3,4,CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)O
165,165,3878,Inactive,0,100.0,256.089,90.7,242.0,16,2,5,1,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
166,166,3955,Inactive,0,100.0,477.0,43.8,623.0,34,1,3,7,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4
167,167,3676,Inactive,0,100.0,234.34,32.299,228.0,17,1,2,5,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
168,168,3883,Inactive,0,100.0,369.4,87.1,480.0,25,1,8,5,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
169,169,3957,Inactive,0,100.0,382.9,42.4,569.0,27,0,3,2,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
170,170,4170,Inactive,0,100.0,365.8,101.0,594.0,24,2,5,2,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
171,171,65710,Inactive,0,100.0,371.4,126.0,500.0,27,4,8,5,CC1=CC=CC=C1CNC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O
172,172,4168,Inactive,0,100.0,299.79,67.6,300.0,20,2,4,7,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
173,173,4810,Inactive,0,100.0,241.68,71.4,275.0,16,2,4,3,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC
174,174,5353788,Inactive,0,100.0,242.23,87.0,270.0,17,0,7,4,CCO/C(=N/C1=C[N+](=NO1)N2CCOCC2)/[O-]
175,175,4201,Inactive,0,100.0,209.25,88.9,329.0,15,3,3,1,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
176,176,6420039,Inactive,0,100.0,315.83,38.8,304.0,21,1,4,7,CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C.Cl
177,177,896,Inactive,0,100.0,232.28,54.1,270.0,17,2,2,4,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
178,178,119442,Inactive,0,100.0,521.1,73.2,639.0,36,1,7,14,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC.Cl
179,179,4032,Inactive,0,100.0,167.29,12.0,197.0,12,1,1,1,CC1(C2CCC(C2)C1(C)NC)C
180,180,4054,Inactive,0,100.0,179.3,26.0,240.0,13,1,1,0,CC12CC3CC(C1)(CC(C3)(C2)N)C
181,181,4011,Inactive,0,100.0,277.4,12.0,339.0,21,1,1,4,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
182,182,4507,Inactive,0,100.0,360.4,110.0,661.0,26,1,7,6,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
183,183,4497,Inactive,0,100.0,418.4,120.0,736.0,30,1,8,9,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
184,184,4500,Inactive,0,100.0,271.35,30.5,253.0,20,1,3,7,CNCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC
185,185,4567,Inactive,0,100.0,299.4,52.5,296.0,22,3,3,7,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
186,186,4418,Inactive,0,100.0,392.5,45.2,483.0,29,1,5,7,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O
187,187,4495,Inactive,0,100.0,308.31,110.0,450.0,21,1,6,4,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2
188,188,4472,Inactive,0,100.0,298.34,83.1,350.0,22,3,4,7,C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2
189,189,71398,Inactive,0,100.0,302.4,80.9,303.0,22,4,4,5,C[C@H](CC1=CC(=C(C=C1)O)O)[C@@H](C)CC2=CC(=C(C=C2)O)O
190,190,4474,Inactive,0,100.0,479.5,114.0,856.0,35,1,8,10,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
191,191,4485,Inactive,0,100.0,346.3,110.0,608.0,25,1,7,5,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
192,192,4493,Inactive,0,100.0,317.22,95.2,515.0,22,1,7,1,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C
193,193,39214,Inactive,0,100.0,272.69,114.0,292.0,18,2,6,4,CC1=NC=C(C(=N1)N)CNC(=O)N(CCCl)N=O
194,194,4581,Inactive,0,100.0,153.18,66.5,111.0,11,3,3,2,C1=CC(=CC=C1C(CN)O)O
195,195,4628,Inactive,0,100.0,261.23,76.1,446.0,19,1,6,2,CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O
196,196,4636,Inactive,0,100.0,260.37,44.6,345.0,19,2,2,3,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C
197,197,4626,Inactive,0,100.0,158.16,83.6,192.0,11,2,3,2,C1C(CN(C1=O)CC(=O)N)O
198,198,4615,Inactive,0,100.0,426.6,38.8,575.0,32,1,3,7,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5
199,199,4847,Inactive,0,100.0,393.5,53.0,782.0,29,0,5,5,CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F
200,200,4828,Inactive,0,100.0,248.32,57.3,248.0,18,3,3,6,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
201,201,4671,Inactive,0,100.0,299.5,49.3,219.0,21,2,2,16,CCCCCCCCCCCCCCCC(=O)NCCO
202,202,4740,Inactive,0,100.0,278.31,75.5,426.0,20,0,4,5,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
203,203,40632,Inactive,0,100.0,185.22,20.3,285.0,14,0,1,1,CC1=CN(C(=O)C=C1)C2=CC=CC=C2
